Sector,Department,PropertyCentre,ePimsPropertyReference,ePimsHoldingReference,DepartmentPropertyReference,DepartmentHoldingReference,PropertyName,StreetNo,StreetName,District,PostTown,PostCode,OSGridRefEast,OSGridRefNorth,PropertyDescription,RecordState,ListedBuilding,HoldingName,TenureType,LocalAuthority,FloorArea,HoldingType,CoreNoneCore,OccupancyUsage,LandUsage,LandAreaHA,LandRegistryTitleNo,UsedToDeriveExtent,AsetValue,ValuationDate,AssetValueType,ValuationAssumptions,Uprn,OBJECTID
,,,,,EM/521,DIS,,Unit 4,Clavadel Road,Paddock Wood,Tonbridge,TN12 6EW,567054,145057,Ferry Port,DISP,Not Applicable,"Lease(Lease surrendered 10/05/04)",Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Ferry Port,,,,,,,,,1418735245,87
,,,,,EM/114,DIS,,106,"Greggs Wood Road",,Tunbridge Wells,TN2 3JG,560111,140981,Retail,DISP,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,63.58,Building Only,,Retail,,,,,,,,,1278752192,88
,,,,,EM/116,DIS,,106,"Greggs Wood Road",,Tunbridge Wells,TN2 3JG,560118,140978,Retail,DISP,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,66.03,Building Only,,Retail,,,,,,,,,1278752192,89
,,,,,EM/112,DIS,,102,"Greggs Wood Road",,Tunbridge Wells,TN2 3JG,560105,140985,Retail,DISP,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,55.6,Building Only,,Retail,,,,,,,,,1278752192,90
,,,,,EM/198,DIS,,98,Sherwood Road,,Tunbridge Wells,TN2 3LH,559972,140273,Retail,DISP,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Retail,,,,,,,,,1418728626,91
,,,,,EM/198,DIS,,98,Sherwood Road,,Tunbridge Wells,TN2 3LH,559972,140273,Retail,DISP,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Retail,,,,,,,,,1418728626,92
,,,,,EM/332,DIS,,3,"Rowan Tree Road",,Tunbridge Wells,TN2 5PX,557489,138225,Retail,DISP,Not Applicable,"LeasePROPERTY SOLD 30/09/2003",Freehold/Feuhold/Fee Simple,Tunbridge Wells,156.077,Buildings Only,,Retail,,,,,,,,,1278752192,93
,,,,,EM/335,DIS,,4,"Rowan Tree Road",,Tunbridge Wells,TN2 5PX,557478,138225,Retail,DISP,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,128.4,Buildings Only,,Retail,,,,,,,,,1418725284,94
,,,,,EM/551,DIS,"The Old Fish Market",,The Pantiles,,Tunbridge Wells,TN2 5TN,,,Civic Building,DISP,Grade II,"Lease made on 20/11/1992 between The Trustees to the Manor of Rusthall and TWBC - the Tenant",Leasehold/Licence,Tunbridge Wells,62.93,Building Only,,Civic Building,,,,,,,,,1418725878,95
,,,,,EM/12,DIS,,6,"Woolley Road","Southborough",Tunbridge Wells,TN4 0LG,557770,142090,Dwelling,DISP,Not Applicable,"LeaseTHIS PROPERTY HAS BEEN SOLD 18.04.2002",Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Dwelling,,,,,,,,,1418725520,96
,,,,,08/00002/EM,DIS,,138,"London Road","Southborough",Tunbridge Wells,TN4 0ND,558150,142105,Retail,DISP,Not Applicable,"LeaseLease completed on 03.01.2002 in the name of R A Foster and other Trustees",Freehold/Feuhold/Fee Simple,Tunbridge Wells,51.19,Building Only,,Retail,,,,,,,,,1418727686,97
,,,,,08/00001/EM,DIS,Part Ground Floor ,137,"London Road","Southborough",Tunbridge Wells,TN4 0ND,,,Retail,DISP,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,51.19,Building Only,,Retail,,,,,,,,,1418727686,98
,,,,,08/00001/EM,DIS,Part Ground Floor ,137,"London Road","Southborough",Tunbridge Wells,TN4 0ND,,,Retail,DISP,Not Applicable,Lease. Property vacant.,Freehold/Feuhold/Fee Simple,Tunbridge Wells,51.19,Building Only,,Retail,,,,,,,,,1418727686,99
,,,,,EM/344,DIS,,2,Ropers Gate,,Tunbridge Wells,TN4 8JE,557290,138318,Retail,DISP,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,84.4,Buildings Only,,Retail,,,,,,,,,1418725281,100
,,,,,EM/343,DIS,,3,Ropers Gate,,Tunbridge Wells,TN4 8JE,557297,138318,Retail,DISP,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,84.4,Buildings Only,,Retail,,,,,,,,,1278752192,101
,,,,,EM/342,DIS,,1 to 2,Ropers Gate,,Tunbridge Wells,TN4 8JE,557306,138307,Retail,DISP,Not Applicable,"End Terrace Lock-Up Shop",Freehold/Feuhold/Fee Simple,Tunbridge Wells,84.4,Building Only,,Retail,,,,,,,,,1418725282,102
,,,,,EM/342,DIS,,1 to 2,Ropers Gate,,Tunbridge Wells,TN4 8JE,557306,138307,Retail,DISP,Not Applicable,"End Terrace Lock-Up Shop(Lease assigned to Mr E Sadadcharam 05/00006/LSE)",Freehold/Feuhold/Fee Simple,Tunbridge Wells,84.4,Building Only,,Retail,,,,,,,,,1418725282,103
,,,,,EM/342,DIS,,1 to 2,Ropers Gate,,Tunbridge Wells,TN4 8JE,557306,138307,Retail,DISP,Not Applicable,"Lease(Lease assigned to tenants who later went bankrupt.  Forfeiture accepted).",Freehold/Feuhold/Fee Simple,Tunbridge Wells,84.4,Building Only,,Retail,,,,,,,,,1418725282,104
,,,,,EM/59,DIS,,103,"Powder Mill Lane","Southborough",Tunbridge Wells,TN4 9DX,558984,141879,Dwelling,DISP,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,58,Building Only,,Dwelling,,,,,,,,,1278752192,105
,,,,,EM/160,DIS,,37,Quarry Road,,Tunbridge Wells,TN1 2EZ,558931,140276,,DISP,Not Applicable,Licence,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Land Only,,,,,K921311,,,,,,1276752192,106
,,,,,EM/337,ASSET,,3,"Rowan Tree Road",,Tunbridge Wells,TN2 5PX,557470,138230,Community Buildings,DISP,Not Applicable,This unit forms part of Doctors surgery.  Record can be deleted.  See Rowan Tree Road Surgery file,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Community Buildings,,,,,,,,,1278752192,107
,,,,,EM/515,ASSET,Car Park,,"Commercial Road",Paddock Wood,Tonbridge,TN12 6EL,566969,145094,Car Park,LIVE,Not Applicable,Car Park. Public Pay & Display Car Park. Licence to erect scaffold.,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Land Only,,Car Park,,,K510994 AND K519820,,,,,,1418735154,108
,,,,,EM/229,ASSET,The Garden Hall Club,,Wood Street,,Tunbridge Wells,TN1 2QS,558896,139856,Community Buildings,LIVE,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,442.776,Buildings Only,,Community Buildings,,,K146850,,,,,,1278752192,109
,,,,,EM/229,ASSET,The Garden Hall Club,,Wood Street,,Tunbridge Wells,TN1 2QS,558896,139856,Community Buildings,LIVE,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,442.776,Buildings Only,,Community Buildings,,,K146850,,,,,,1278752192,110
,,,,,EM/508,ASSET,"Day Centre Dowding House",,Commercial Road,Paddock Wood,Tonbridge,TN12 6DP,566852,144927,Community Buildings,LIVE,Not Applicable,Community. Single Storey Detached Structure,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Buildings Only,,Community Buildings,,,K338392/K345845,,,,,,1418735067,111
,,,,,EM/508,ASSET,"Day Centre Dowding House",,Commercial Road,Paddock Wood,Tonbridge,TN12 6DP,566852,144927,Community Buildings,LIVE,Not Applicable,,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Buildings Only,,Community Buildings,,,K338392/K345845,,,,,,1418735067,112
,,,,,EM/702,DIS,,47,Station Road,Paddock Wood,Tonbridge,TN12 6AB,566915,145131,Community Buildings,DISP,Not Applicable,"Lease (Excl)(Property sold 6/7/04)",Freehold/Feuhold/Fee Simple,Tunbridge Wells,130.6,Buildings Only,,Community Buildings,,,,,,,,,1278752192,113
,,,,,EM/639,DIS,"Ex Council Yard Adjacent To",1,"Woolley Road","Southborough",Tunbridge Wells,TN4 0LE,557781,142058,Depot,DISP,Not Applicable,Licence/Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Depot,,,K943617,,,,,,1276752192,114
,,,,,EM/639,DIS,"Ex Council Yard Adjacent To",1,"Woolley Road","Southborough",Tunbridge Wells,TN4 0LE,557781,142058,Depot,DISP,Not Applicable,Licence/Lease surrendered. Keys returned. Property vacant,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Depot,,,K943617,,,,,,1276752192,115
,,,,,EM/900,DIS,"West Kent College Site Adjacent To Boys Grammar School",,St Johns Road,,Tunbridge Wells,TN4 9XB,558237,141497,Community Buildings,DISP,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Buildings Only,,Community Buildings,,,,,,,,,1418727468,116
,,,,,EM/40,ASSET,"Southborough Town Council",137,"London Road","Southborough",Tunbridge Wells,TN4 0ND,558150,142105,,LIVE,Not Applicable,Offices. Large detached structure.,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,,,,UNREGISTERED,,,,,,1418727686,117
,,,,,EM/730,DIS,"Garage Site",,"Southwood Road","Southborough",Tunbridge Wells,TN4,555802,140204,Garage,DISP,Not Applicable,Licence,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Land Only,,Garage,,,K943455,,,,,,1410134045,118
,,,,,EM/555,ASSET,,26,Napier Road,,Tunbridge Wells,TN2 5AT,559687,138628,Land,LIVE,Not Applicable,Licence,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,,,,,,,1276752192,119
,,,,,EM/554,ASSET,,24,Napier Road,,Tunbridge Wells,TN2 5AT,559683,138627,Land,LIVE,Not Applicable,Licence,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,,,,,,,1276752192,120
,,,,,EM/557,ASSET,,30,Napier Road,,Tunbridge Wells,TN2 5AT,559698,138630,Land,LIVE,Not Applicable,Licence,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,,,,,,,1276752192,121
,,,,,EM/553,ASSET,,20,Napier Road,,Tunbridge Wells,TN2 5AT,559675,138624,Land,LIVE,Not Applicable,Land. Area Of Land Licensed As Garden Extension.,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,,,,,,,1276752192,122
,,,,,EM/553,ASSET,,20,Napier Road,,Tunbridge Wells,TN2 5AT,559675,138624,Land,LIVE,Not Applicable,Licence,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,,,,,,,1276752192,123
,,,,,EM/558,ASSET,,34,Napier Road,,Tunbridge Wells,TN2 5AT,559707,138632,Land,LIVE,Not Applicable,Area Of Land Licensed As Garden Extension.,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,,,,,,,1276752192,124
,,,,,EM/558,ASSET,,34,Napier Road,,Tunbridge Wells,TN2 5AT,559707,138632,Land,LIVE,Not Applicable,Licence,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,,,,,,,1276752192,125
,,,,,EM/556,ASSET,,28,Napier Road,,Tunbridge Wells,TN2 5AT,559694,138629,Land,LIVE,Not Applicable,Licence,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,,,,,,,1276752192,126
,,,,,EM/722,ASSET,,32,Napier Road,,Tunbridge Wells,TN2 5AT,559703,138632,Land,LIVE,Not Applicable,Area Of Land Licensed As Garden Extension,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,,,,,,,1276752192,127
,,,,,EM/722,ASSET,,32,Napier Road,,Tunbridge Wells,TN2 5AT,559703,138632,Land,LIVE,Not Applicable,Licence,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,,,,,,,1276752192,128
,,,,,04/00004/EM,DIS,"Land Between Rookley Close And",,Forest Road,,Tunbridge Wells,,559761,138870,Land,DISP,Not Applicable,Licence to Mr Vanns,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,,,,,,,1410134942,129
,,,,,04/00004/EM,DIS,"Land Between Rookley Close And",,Forest Road,,Tunbridge Wells,,559761,138870,Land,DISP,Not Applicable,Licence to Mr Vanns,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,,,,,,,1410134942,130
,,,,,12/00307/ASSET,ASSET,,16,Napier Road,,Tunbridge Wells,TN2 5AT,559665,138620,Land,LIVE,Not Applicable,Land at rear licensed as garden land. Licence can be terminated by either party giving 6 weeks notice in writing. See Licence for full details.,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,,,,,,,1276752192,131
,,,,,04/00001/LIC,ASSET,Land Adjacent To 17,17,Pearse Place,Lamberhurst,Tunbridge Wells,TN3 8EJ,567556,136050,Land,LIVE,Not Applicable,"Garden Land adjacent to 17 Pearse Place, LamberhurstLICENCE RUNS FOR ONE YEAR THEN FROM YEAR TO YEAR",Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,K400035,,,,,,1418729989,132
,,,,,04/00001/LIC,ASSET,Land Adjacent To 17,17,Pearse Place,Lamberhurst,Tunbridge Wells,TN3 8EJ,567556,136050,Land,LIVE,Not Applicable,"Garden Land adjacent to 17 Pearse PlaceLamberhurst",Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,K400035,,,,,,1418729989,133
,,,,,EM/690,DIS,Land To Rear,"40-46",Charles Street,"Southborough",Tunbridge Wells,TN4 0DS,558079,141805,Land,DISP,Not Applicable,Licence,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,K944868,,,,,,1276752192,134
,,,,,04/00002/LIC,DIS,Land Adjoining 15,15,"Connaught Way",,Tunbridge Wells,TN4 9QJ,557748,140178,Land,DISP,Not Applicable,Strip of land,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,,,,,,,1276752192,135
,,,,,EM/450,ASSET,Land Fronting Colebrook Industrial Estate,,"Longfield Road",,Tunbridge Wells,,560053,141956,Land,LIVE,Not Applicable,Permission to erect a signboard on land owned by Daejan Investments Ltd. No rent charged. Either party can terminate by giving 3 calendar months notice.,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,K943580,,,,,,1410130087,136
,,,,,EM/670,ASSET,"Land Adjacent To",,Hilbert Road,,Tunbridge Wells,TN2 3SA,559406,140268,Land,LIVE,Not Applicable,Licence,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Land Only,,Land,,,K925824,,,,,,1410134973,137
,,,,,EM/642,DIS,"Land Adjoining TheOld Palace",,High Street,Brenchley,Tonbridge,,567928,141819,Land,DISP,Not Applicable,"Licence(Transferred to Brenchley Parish Council)",Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,,,,,,,1418730055,138
,,,,,EM/505,DIS,,14,Pixot Hill,Brenchley,Tonbridge,TN12 7BD,567944,142487,Land,DISP,Not Applicable,Transfer,Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,,,,,,,1418730081,139
,,,,,EM/351,ASSET,"Community Centre",,Showfields Road,,Tunbridge Wells,TN2 5PR,557497,138187,Land,LIVE,Not Applicable,Paved area outside the Community Centre - 3 raised planter beds,Freehold/Feuhold/Fee Simple,Tunbridge Wells,284.9,Buildings Only,,Land,,,K278538,,,,,,1278752192,140
,,,,,EM/351,ASSET,"Community Centre",,Showfields Road,,Tunbridge Wells,TN2 5PR,557497,138187,Land,LIVE,Not Applicable,Paved area outside the Community Centre - 3 raised planter beds,Freehold/Feuhold/Fee Simple,Tunbridge Wells,284.9,Buildings Only,,Land,,,K278538,,,,,,1278752192,141
,,,,,EM/351,ASSET,"Community Centre",,Showfields Road,,Tunbridge Wells,TN2 5PR,557497,138187,Sports Hall,LIVE,Not Applicable,Community. Single Storey Detached Building.,Freehold/Feuhold/Fee Simple,Tunbridge Wells,284.9,Buildings Only,,Sports Hall,,,K278538,,,,,,1278752192,142
,,,,,EM/351,ASSET,"Community Centre",,Showfields Road,,Tunbridge Wells,TN2 5PR,557497,138187,Sports Hall,LIVE,Not Applicable,Community. Single Storey Detached Building.,Freehold/Feuhold/Fee Simple,Tunbridge Wells,284.9,Buildings Only,,Sports Hall,,,K278538,,,,,,1278752192,143
,,,,,EM/351,ASSET,"Community Centre",,Showfields Road,,Tunbridge Wells,TN2 5PR,557497,138187,Sports Hall,LIVE,Not Applicable,Single Storey Detached Building,Freehold/Feuhold/Fee Simple,Tunbridge Wells,284.9,Buildings Only,,Sports Hall,,,K278538,,,,,,1278752192,144
,,,,,EM/351,ASSET,"Community Centre",,Showfields Road,,Tunbridge Wells,TN2 5PR,557497,138187,Sports Hall,LIVE,Not Applicable,Single Storey Detached Building,Freehold/Feuhold/Fee Simple,Tunbridge Wells,284.9,Buildings Only,,Sports Hall,,,K278538,,,,,,1278752192,145
,,,,,EM/351,ASSET,"Community Centre",,Showfields Road,,Tunbridge Wells,TN2 5PR,557497,138187,Sports Hall,LIVE,Not Applicable,Lease of part of Showfields Hall,Freehold/Feuhold/Fee Simple,Tunbridge Wells,284.9,Buildings Only,,Sports Hall,,,K278538,,,,,,1278752192,146
,,,,,EM/351,ASSET,"Community Centre",,Showfields Road,,Tunbridge Wells,TN2 5PR,557497,138187,Sports Hall,LIVE,Not Applicable,Lease of part of Showfields Hall,Freehold/Feuhold/Fee Simple,Tunbridge Wells,284.9,Buildings Only,,Sports Hall,,,K278538,,,,,,1278752192,147
,,,,,EM/351,ASSET,"Community Centre",,Showfields Road,,Tunbridge Wells,TN2 5PR,557497,138187,Sports Hall,LIVE,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,284.9,Buildings Only,,Sports Hall,,,K278538,,,,,,1278752192,148
,,,,,EM/351,ASSET,"Community Centre",,Showfields Road,,Tunbridge Wells,TN2 5PR,557497,138187,Sports Hall,LIVE,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,284.9,Buildings Only,,Sports Hall,,,K278538,,,,,,1278752192,149
,,,,,EM/550,ASSET,Cinder Hill Wood Gypsy Caravan Site,,Five Wents,"Matfield",Tonbridge,TN12 7EF,565306,142453,Land,LIVE,Not Applicable,"4 Plots With Amenity Blocks, 3 Tolerated.  Separate Licences for each plot.  Rent is accumulative rent for all plots. 6 Plots for rental purposes.",Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Land,,,K936196,,,,,,1418729593,150
,,,,,12/00310/TEN,DIS,,9,"All Saints Road",Hawkhurst,Cranbrook,TN18 4HR,576261,130405,Dwelling,DISP,Not Applicable,"Property rented by TWBC from Town and Country Housing Group for temporary accommodation.",Leasehold/Licence,Tunbridge Wells,,Building Only,,Dwelling,,,,,,,,,1276752192,151
,,,,,EM/298,DIS,,27,George Street,,Tunbridge Wells,TN2 4SR,559218,139237,Dwelling,DISP,Not Applicable,"LicenceProperty Vacant, disposal pending. Property sold.",Freehold/Feuhold/Fee Simple,Tunbridge Wells,,Building Only,,Dwelling,,,,,,,,,1276752192,152
,,,,,EM/552,ASSET,"North Farm House",,"Dowding Way",,Tunbridge Wells,TN2 3UY,559653,141740,Hostel,LIVE,Not Applicable,"Hostel(See ownership/Asset Value ref:- EM/552)",Freehold/Feuhold/Fee Simple,Tunbridge Wells,115.7,Buildings Only,,Hostel,,,,,,,,,1278752192,153
,,,,,EM/552,ASSET,"North Farm House",,Dowding Way,,Tunbridge Wells,TN2 3UY,559653,141740,Hostel,LIVE,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,115.7,Buildings Only,,Hostel,,,,,,,,,1278752192,154
,,,,,EM/538,ASSET,,12,Colebrook Industrial Estate,,Tunbridge Wells,,560391,142107,Industrial,LIVE,Not Applicable,Industrial Unit,Freehold/Feuhold/Fee Simple,Tunbridge Wells,47.381,Buildings Only,,Industrial,,,K943580,,,,,,1278752192,155
,,,,,EM/538,ASSET,,12,Colebrook Industrial Estate,,Tunbridge Wells,,560391,142107,Industrial,LIVE,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,47.381,Buildings Only,,Industrial,,,K943580,,,,,,1278752192,156
,,,,,EM/544,ASSET,,18,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560367,142092,Industrial,LIVE,Not Applicable,Industrial Unit,Freehold/Feuhold/Fee Simple,Tunbridge Wells,47.345,Buildings Only,,Industrial,,,K943580,,,,,,1278752192,157
,,,,,EM/544,ASSET,,18,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560367,142092,Industrial,LIVE,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,47.345,Buildings Only,,Industrial,,,K943580,,,,,,1278752192,158
,,,,,EM/542,ASSET,,16,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560375,142100,Industrial,LIVE,Not Applicable,Industrial Unit,Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Industrial,,,K943580,,,,,,1410134554,159
,,,,,EM/542,ASSET,,16,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560375,142100,Industrial,LIVE,Not Applicable,Industrial Unit,Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Industrial,,,K943580,,,,,,1410134554,160
,,,,,EM/542,ASSET,,16,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560375,142100,Industrial,LIVE,Not Applicable,"Lease99/00004 assigned from Mark Humphreys to Mr Mark Taylor",Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Industrial,,,K943580,,,,,,1410134554,161
,,,,,EM/542,ASSET,,16,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560375,142100,Industrial,LIVE,Not Applicable,"LeaseEM/542 assigned from Mr Badu and Mr Fuller to Mark Humphreys",Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Industrial,,,K943580,,,,,,1410134554,162
,,,,,EM/542,ASSET,,16,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560375,142100,Industrial,LIVE,Not Applicable,Lease of light industrial unit,Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Industrial,,,K943580,,,,,,1410134554,163
,,,,,EM/542,ASSET,,16,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560375,142100,Industrial,LIVE,Not Applicable,"LeaseAssigned to Mark Humphreys please see 99/00004/LSE",Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Industrial,,,K943580,,,,,,1410134554,164
,,,,,EM/543,ASSET,,17,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560373,142098,Industrial,LIVE,Not Applicable,Industrial Unit.,Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Industrial,,,K943580,,,,,,1410131012,165
,,,,,EM/543,ASSET,,17,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560373,142098,Industrial,LIVE,Not Applicable,Industrial Unit.,Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Industrial,,,K943580,,,,,,1410131012,166
,,,,,EM/543,ASSET,,17,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560373,142098,Industrial,LIVE,Not Applicable,"Light Industrial Unit(Previous 99/00003/LSE Assigned from Mark Humphreys to Mark Taylor 21.12.2005)",Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Industrial,,,K943580,,,,,,1410131012,167
,,,,,EM/543,ASSET,,17,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560373,142098,Industrial,LIVE,Not Applicable,"Light Industrial Unit(Previous EM/543/LSE Assigned to Mark Humphreys from Mr Badu  Mr Fuller)",Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Industrial,,,K943580,,,,,,1410131012,168
,,,,,EM/543,ASSET,,17,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560373,142098,Industrial,LIVE,Not Applicable,"Light Industrial UnitAssigned to Mark Humphreys please refer to 99/00003/LSE",Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Industrial,,,K943580,,,,,,1410131012,169
,,,,,EM/545,ASSET,,19,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560361,142091,Industrial,LIVE,Not Applicable,Industrial Unit,Freehold/Feuhold/Fee Simple,Tunbridge Wells,43.3,Buildings Only,,Industrial,,,K943580,,,,,,1278752192,170
,,,,,EM/545,ASSET,,19,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560361,142091,Industrial,LIVE,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,43.3,Buildings Only,,Industrial,,,K943580,,,,,,1278752192,171
,,,,,EM/545,ASSET,,19,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560361,142091,Industrial,LIVE,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,43.3,Buildings Only,,Industrial,,,K943580,,,,,,1278752192,172
,,,,,EM/545,ASSET,,19,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560361,142091,Industrial,LIVE,Not Applicable,Lease,Freehold/Feuhold/Fee Simple,Tunbridge Wells,43.3,Buildings Only,,Industrial,,,K943580,,,,,,1278752192,173
,,,,,EM/540,ASSET,,14,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560384,142101,Industrial,LIVE,Not Applicable,Industrial Unit,Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Industrial,,,K943580,,,,,,1278752192,174
,,,,,EM/540,ASSET,,14,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560384,142101,Industrial,LIVE,Not Applicable,Industrial Unit,Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Industrial,,,K943580,,,,,,1278752192,175
,,,,,EM/540,ASSET,,14,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560384,142101,Industrial,LIVE,Not Applicable,Industrial Unit,Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Industrial,,,K943580,,,,,,1278752192,176
,,,,,EM/540,ASSET,,14,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560384,142101,Industrial,LIVE,Not Applicable,Lease is contracted out of the Landlord and Tenant Act 1954. When the contractual term of the lease expires the tenant has no right to hold over. TWBC not to demand any rent after 7 February 2016.,Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Industrial,,,K943580,,,,,,1278752192,177
,,,,,EM/540,ASSET,,14,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560384,142101,Industrial,LIVE,Not Applicable,"Lease",Freehold/Feuhold/Fee Simple,Tunbridge Wells,50,Buildings Only,,Industrial,,,K943580,,,,,,1278752192,178
,,,,,EM/539,ASSET,,13,Colebrook Industrial Estate,,Tunbridge Wells,TN2 3DG,560388,142104,Industrial,LIVE,Not Applicable,Industrial Unit. Vacant.,Freehold/Feuhold/Fee Simple,Tunbridge Wells,47.7,Buildings Only,,Industrial,,,K943580,,,,,,1278752192,179
